filename,file_id,vectorstore_id,assistant_id
/app/Store/advising_uoregon_edu_-lauren-eichler.txt,file-EvUBvU8FUS3KmfpVHmimFs,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_.txt,file-WLZmFNNgusKG2bHvW31Yb7,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_academic-resources.txt,file-A9gaLLbety95n3cPTxaaMG,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_academic-support-and-resources.txt,file-PTkW4htZ8ZyarWyfgPtkkn,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_academic-support-and-resources_.txt,file-NCeayN6nSLvJqK3snY8vkh,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_advising-exploring-students.txt,file-JHzEx6tmgauzRaDJCJkoRP,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_connect-advisors.txt,file-22eStrvcZgJMkY44NjkqoT,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_content_about.txt,file-EyjFnTMaocCWtHQLAjS24o,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_content_academic-standing.txt,file-VJTKSAhQnNErv4hBmNcYbX,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_content_academic-standing_.txt,file-JCGnx7jRhbH11ooufdRqZw,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_content_connect-with-advisor_departmental-advisors.txt,file-ENXV6psUH4BWPze8FHuJk5,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_content_peer-link.txt,file-FCjueEqpCmu1QmbM79V8ph,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_content_work-advisor.txt,file-Biw6EwddskpexTbxrZQ9H1,,asst_WvxFY77dyhKaV6ei809wTfye
/app/Store/advising_uoregon_edu_declare-or-change-major-0.txt,file-SGoaETEiQ2TSi3kMovn9qJ,,asst_WvxFY77dyhKaV6ei809wTfye
